	AMIKACIN	AMOXICILLIN	AMOXICILLIN_CLAVULANATE	CAPREOMYCIN	CIPROFLOXACIN	CLARITHROMYCIN	CLOFAZIMINE	CYCLOSERINE	ETHAMBUTOL	ETHIONAMIDE	GATIFLOXACIN	ISONIAZID	KANAMYCIN	LEVOFLOXACIN	MOXIFLOXACIN	NICOTINAMIDE	OFLOXACIN	PARA-AMINOSALICYLIC_ACID	PROTHIONAMIDE	PYRAZINAMIDE	RIFABUTIN	RIFAMPICIN	STREPTOMYCIN	country	date	lineage1	lineage2	lineage3	lineage4	lineage5	lineage6	lineage7	strain
15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2007	0	0	0	1	0	0	0	SAMEA1556804
16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2008	1	0	0	0	0	0	0	SAMEA1556805
17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2006	0	0	0	1	0	0	0	SAMEA1556806
18	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	Canada	2012	0	0	0	0	0	0	0	SAMN02671082
19	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	0	-1	1	1	Russia	2010	0	1	0	0	0	0	0	SAMEA1707299
20	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	0	-1	1	1	Russia	2008	0	1	0	0	0	0	0	SAMEA1707298
21	-1	-1	-1	0	-1	-1	-1	-1	0	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	0	South Africa	2010	0	0	0	1	0	0	0	SAMN01925638
22	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	0	-1	0	-1	1	1	-1	1	1	Russia	2010	0	1	0	0	0	0	0	SAMEA1707295
23	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	1	Russia	2009	0	1	0	0	0	0	0	SAMEA1707296
24	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2010	0	1	0	0	0	0	0	SAMEA1707291
25	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	0	-1	0	-1	0	0	-1	1	0	Russia	2009	0	1	0	0	0	0	0	SAMEA1707290
26	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	1	Russia	2010	0	1	0	0	0	0	0	SAMEA1707293
27	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2010	0	1	0	0	0	0	0	SAMEA1707292
28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	0	0	1	0	0	0	SAMEA2072837
29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	0	0	1	0	0	0	SAMEA2072836
30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	0	0	1	0	0	0	SAMEA2072834
31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	0	0	1	0	0	0	SAMEA2072833
32	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	Canada	2009	0	0	0	0	0	0	0	SAMN02671087
33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	0	0	1	0	0	0	SAMEA2072831
34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	0	0	1	0	0	0	SAMEA2072830
35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	0	0	1	0	0	0	SAMEA2072839
36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	0	0	1	0	0	0	SAMEA2072838
37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2010	0	0	0	1	0	0	0	SAMEA1465975
38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2009	0	0	0	1	0	0	0	SAMEA1465974
39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2009	0	0	0	1	0	0	0	SAMEA1465977
40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2008	0	0	0	1	0	0	0	SAMEA1465976
41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Malawi	2007	0	1	0	0	0	0	0	SAMEA1465971
42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2009	1	0	0	0	0	0	0	SAMEA1465970
43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2008	0	0	1	0	0	0	0	SAMEA1465973
44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2005	0	0	1	0	0	0	0	SAMEA1465972
45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Malawi	2009	0	0	0	1	0	0	0	SAMEA1465979
46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2009	0	0	0	1	0	0	0	SAMEA1465978
47	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	India	2002	0	0	0	0	0	0	0	SAMN02599019
48	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	India	2002	0	0	0	0	0	0	0	SAMN02599018
49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	India	2002	0	0	1	0	0	0	0	SAMN02599011
50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	India	2002	1	0	0	0	0	0	0	SAMN02599010
51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	India	2002	1	0	0	0	0	0	0	SAMN02599013
52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	India	2002	1	0	0	0	0	0	0	SAMN02599012
53	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	India	2002	0	0	0	0	0	0	0	SAMN02599015
54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	India	2002	1	0	0	0	0	0	0	SAMN02599014
55	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	India	2002	0	0	0	0	0	0	0	SAMN02599017
56	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	India	2002	0	0	1	0	0	0	0	SAMN02599016
57	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	South Africa	2013	0	0	0	1	0	0	0	SAMN02585983
58	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	0	-1	0	-1	0	0	-1	1	1	Russia	2009	0	0	0	1	0	0	0	SAMEA1016029
59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Russia	2009	0	1	0	0	0	0	0	SAMEA1016028
60	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	0	-1	0	-1	0	0	-1	1	1	Russia	2009	0	0	0	1	0	0	0	SAMEA1016025
61	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	Russia	2008	0	0	0	1	0	0	0	SAMEA1016024
62	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Not Provided	2008	0	0	0	0	0	0	0	SAMEA1016026
63	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	0	-1	0	-1	1	0	-1	1	1	Russia	2009	0	0	0	1	0	0	0	SAMEA1016021
64	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2009	0	1	0	0	0	0	0	SAMEA1016023
65	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	Netherlands	1998	1	0	0	0	0	0	0	SAMEA968208
66	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	United Kingdom	missing	0	1	0	0	0	0	0	SAMN03648545
67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Netherlands	2006	0	0	0	1	0	0	0	SAMEA968203
68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Netherlands	1998	1	0	0	0	0	0	0	SAMEA968200
69	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	Netherlands	1995	0	0	0	1	0	0	0	SAMEA968204
70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	South Africa	2013	0	0	0	0	0	0	0	SAMN02585988
71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	India	2003	1	0	0	0	0	0	0	SAMN02599085
72	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	1	Russia	2009	0	1	0	0	0	0	0	SAMEA1403849
73	0	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	0	0	-1	1	1	Russia	2008	0	1	0	0	0	0	0	SAMEA1403848
74	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Germany		0	0	0	0	0	0	0	SAMEA2534566
75	-1	0	-1	0	0	-1	-1	-1	0	-1	-1	1	1	-1	0	-1	0	-1	-1	0	-1	1	1	Germany		0	0	0	0	0	0	0	SAMEA2534567
76	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Germany		0	0	0	0	0	0	0	SAMEA2534560
77	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Germany		0	0	0	0	0	0	0	SAMEA2534561
78	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Germany		0	0	0	0	0	0	0	SAMEA2534562
79	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2009	0	1	0	0	0	0	0	SAMEA1403841
80	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	0	-1	-1	0	-1	0	-1	0	0	-1	0	0	Russia	2009	0	1	0	0	0	0	0	SAMEA1403840
81	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2009	0	1	0	0	0	0	0	SAMEA1403843
82	1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	0	-1	0	0	-1	1	1	Russia	2008	0	1	0	0	0	0	0	SAMEA1403842
83	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	0	-1	0	-1	0	0	-1	1	1	Russia	2008	0	0	0	1	0	0	0	SAMEA1403845
84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Russia		0	1	0	0	0	0	0	SAMEA1403844
85	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	0	-1	1	1	Russia	2009	0	1	0	0	0	0	0	SAMEA1403847
86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Russia		0	0	0	0	0	0	0	SAMEA1403846
87	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	1	0	0	0	0	0	0	SAMN03648008
88	0	0	-1	0	0	-1	-1	-1	0	-1	-1	1	0	-1	0	-1	0	-1	-1	0	-1	1	0	United Kingdom	missing	0	0	1	0	0	0	0	SAMN03648009
89	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	1	0	0	0	0	SAMN03647719
90	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	1	0	0	0	SAMN03647718
91	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	1	0	0	0	0	0	0	SAMN03647715
92	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	1	0	0	0	0	0	SAMN03647714
93	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	1	0	0	0	0	SAMN03647717
94	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	1	0	0	0	0	0	SAMN03647716
95	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	1	0	0	0	0	SAMN03647711
96	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	1	0	0	0	0	SAMN03647710
97	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	1	0	0	0	SAMN03647713
98	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	0	0	1	0	SAMN03647712
99	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Germany		0	0	0	0	0	0	0	SAMEA2534300
100	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	Germany		0	1	0	0	0	0	0	SAMEA2534301
101	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Germany		0	0	0	0	0	0	0	SAMEA2534302
102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Not Provided		0	0	0	1	0	0	0	SAMEA2159276
103	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Germany		0	0	0	0	0	0	0	SAMEA2534305
104	0	0	-1	0	-1	-1	-1	0	1	0	-1	1	-1	-1	-1	-1	0	0	-1	1	-1	1	1	Uzbekistan		0	1	0	0	0	0	0	SAMEA2534307
105	0	0	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	0	-1	-1	0	-1	1	1	Uzbekistan		0	0	0	0	0	0	0	SAMEA2534308
106	0	0	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	0	-1	-1	0	-1	1	1	Uzbekistan		0	0	0	0	0	0	0	SAMEA2534309
107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Portugal		0	1	0	0	0	0	0	SAMEA2072832
108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	South Africa	missing	0	0	0	1	0	0	0	SAMN02403634
109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2004	0	0	0	1	0	0	0	SAMEA1556642
110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2008	0	0	0	1	0	0	0	SAMEA1556643
111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2005	1	0	0	0	0	0	0	SAMEA1556640
112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2008	0	0	1	0	0	0	0	SAMEA1556641
113	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2005	0	0	0	1	0	0	0	SAMEA1556646
114	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2009	0	0	1	0	0	0	0	SAMEA1556647
115	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Malawi	2008	0	0	1	0	0	0	0	SAMEA1556644
116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2006	0	0	0	1	0	0	0	SAMEA1556645
117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Malawi	2007	0	0	1	0	0	0	0	SAMEA1556648
118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Malawi	2007	0	0	0	1	0	0	0	SAMEA1556649
119	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Germany		0	0	0	0	0	0	0	SAMEA2535121
120	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	0	-1	0	-1	0	1	-1	1	1	Russia	2009	0	1	0	0	0	0	0	SAMEA1404001
121	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2008	0	0	0	1	0	0	0	SAMEA1404002
122	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	0	-1	0	-1	1	0	-1	1	1	Russia	2009	0	0	0	1	0	0	0	SAMEA1404003
123	0	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	0	-1	1	1	Russia	2009	0	1	0	0	0	0	0	SAMEA1404004
124	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2009	0	1	0	0	0	0	0	SAMEA1404005
125	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	0	-1	0	-1	1	1	-1	1	0	Russia	2009	0	1	0	0	0	0	0	SAMEA1404006
126	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2008	0	0	0	1	0	0	0	SAMEA1404007
127	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2009	0	1	0	0	0	0	0	SAMEA1404008
128	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	Russia	2009	0	0	0	0	0	0	0	SAMEA1404009
129	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	Canada	2000	0	0	0	0	0	0	0	SAMN03161686
130	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	1	0	0	0	SAMN03647979
131	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	1	0	0	0	SAMN03647978
132	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	1	0	0	0	0	SAMN03647971
133	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	0	0	0	0	SAMN03647970
134	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	1	0	0	0	0	SAMN03647973
135	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	1	0	0	0	SAMN03647972
136	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	1	0	0	0	SAMN03647975
137	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	United Kingdom	missing	0	0	0	0	0	0	0	SAMN03647974
