	country	lineage	drug	strain	date	MDR
23	South Africa	lineage4	PYRAZINAMIDE	SAMN03648911	6.51430532174	0
24	South Africa	lineage4	PYRAZINAMIDE	SAMEA95446168	4.127611169700001	1
25	South Africa	lineage4	PYRAZINAMIDE	SAMEA95421418	2.14151765759	1
26	South Africa	lineage4	PYRAZINAMIDE	SAMN03648554	8.78190088579	1
27	South Africa	lineage4	PYRAZINAMIDE	SAMEA95533918	1.7493025687700001	0
28	South Africa	lineage4	PYRAZINAMIDE	SAMEA95441668	5.792082962239999	1
29	South Africa	lineage4	PYRAZINAMIDE	SAMN03648903	4.43107274161	0
30	South Africa	lineage4	PYRAZINAMIDE	SAMEA95522668	5.792082962239999	1
31	South Africa	lineage4	PYRAZINAMIDE	SAMEA95414668	6.6470260814	1
32	South Africa	lineage4	PYRAZINAMIDE	SAMEA95438668	6.6470260814	1
33	South Africa	lineage4	PYRAZINAMIDE	SAMEA95518918	8.16016327582	1
34	United Kingdom	lineage4	PYRAZINAMIDE	SAMN03647304	15.210237291199999	0
35	United Kingdom	lineage4	PYRAZINAMIDE	SAMN03647305	15.210237291199999	1
36	United Kingdom	lineage4	PYRAZINAMIDE	SAMEA1019184	15.210237291199999	1
37	United Kingdom	lineage4	PYRAZINAMIDE	SAMN03647270	15.210237291199999	0
38	United Kingdom	lineage4	PYRAZINAMIDE	SAMN03647562	6.17674831331	0
39	United Kingdom	lineage4	PYRAZINAMIDE	SAMN03648509	3.4530043891199993	0
40	United Kingdom	lineage4	PYRAZINAMIDE	SAMN03647565	8.97050991299	1
41	United Kingdom	lineage4	PYRAZINAMIDE	SAMEA2297124	12.8755524238	1
42	United Kingdom	lineage4	PYRAZINAMIDE	SAMN03648017	13.2786394834	0
43	South Africa	lineage2	OTHER	SAMEA95512918	2.14303867932	1
44	South Africa	lineage2	OTHER	SAMEA95493418	1.8557898842700002	1
45	South Africa	lineage2	OTHER	SAMEA95484418	4.01976843884	1
46	South Africa	lineage2	OTHER	SAMEA95416918	0.9854141623289999	1
47	South Africa	lineage2	OTHER	SAMEA95533168	2.55754257262	1
48	South Africa	lineage2	OTHER	SAMEA95531668	4.688531999509999	1
49	South Africa	lineage2	OTHER	SAMEA95443168	2.51640178507	1
50	South Africa	lineage2	OTHER	SAMN02053745	4.011636705319999	0
51	South Africa	lineage2	OTHER	SAMEA95410918	0.9854141623289999	1
52	South Africa	lineage2	OTHER	SAMEA95500168	1.45371011319	1
53	South Africa	lineage2	OTHER	SAMEA95425168	1.7214155153	1
54	South Africa	lineage2	OTHER	SAMEA95422168	1.45371011319	1
55	South Africa	lineage2	OTHER	SAMEA95529418	4.688531999509999	1
56	South Africa	lineage2	OTHER	SAMEA95527918	1.9924748888599997	1
57	South Africa	lineage2	OTHER	SAMEA95444668	0.9854141623289999	1
58	South Africa	lineage2	OTHER	SAMEA95527168	2.55754257262	1
59	South Africa	lineage2	OTHER	SAMEA95485168	1.8557898842700002	1
60	South Africa	lineage2	OTHER	SAMEA95492668	1.85578988426	1
61	South Africa	lineage2	OTHER	SAMEA95521168	2.95229960745	1
62	South Africa	lineage2	OTHER	SAMEA95513668	1.23747597671	1
63	South Africa	lineage2	OTHER	SAMEA95482918	1.16007047683	1
64	South Africa	lineage2	OTHER	SAMEA95511418	2.14303867932	1
65	South Africa	lineage2	OTHER	SAMEA95437918	1.02239305844	1
66	South Africa	lineage2	OTHER	SAMEA95501668	1.5735273294299998	1
67	South Africa	lineage2	OTHER	SAMEA95510668	1.23747597671	1
68	South Africa	lineage2	OTHER	SAMEA95491168	3.08138299864	1
69	South Africa	lineage2	OTHER	SAMN02350439	1.50332404476	1
70	Germany	lineage1	STREPTOMYCIN	SAMEA2534082	11.607515693699998	0
71	United Kingdom	lineage3	PYRAZINAMIDE	SAMN03648094	5.938527573019999	1
72	United Kingdom	lineage3	PYRAZINAMIDE	SAMN03648537	10.4417117698	0
73	United Kingdom	lineage3	PYRAZINAMIDE	SAMN03647549	20.551715311	1
74	United Kingdom	lineage3	PYRAZINAMIDE	SAMN03648270	20.551715311	1
75	United Kingdom	lineage3	PYRAZINAMIDE	SAMN03647467	23.197107688499997	1
76	United Kingdom	lineage3	PYRAZINAMIDE	SAMN03647558	20.4447309271	1
77	United Kingdom	lineage3	PYRAZINAMIDE	SAMN03648057	14.1406071189	1
78	Peru	lineage4	FLUOROQUINOLONES	Peru3366	0.8976439076330001	1
79	Peru	lineage4	FLUOROQUINOLONES	Peru4907	1.3072992335299998	1
80	Peru	lineage4	FLUOROQUINOLONES	Peru4610	2.21811659825	1
81	Peru	lineage4	FLUOROQUINOLONES	Peru4903	0.67684804535	1
82	Peru	lineage4	FLUOROQUINOLONES	Peru4902	1.9529910400200001	1
83	Peru	lineage4	FLUOROQUINOLONES	Peru4614	1.8989022340000001	1
84	Peru	lineage4	FLUOROQUINOLONES	Peru5445	2.20925726432	1
85	Peru	lineage4	FLUOROQUINOLONES	Peru5448	11.4711406602	1
86	Peru	lineage4	FLUOROQUINOLONES	Peru4534	1.0170692014799998	1
87	Peru	lineage4	FLUOROQUINOLONES	Peru4717	13.901489431600002	1
88	Peru	lineage4	FLUOROQUINOLONES	Peru2946	1.2053498670799998	1
89	Peru	lineage4	FLUOROQUINOLONES	Peru4970	0.9615922794320001	1
90	Peru	lineage4	FLUOROQUINOLONES	Peru5153	11.1804992786	1
91	Peru	lineage4	FLUOROQUINOLONES	Peru5017	0.903344328364	1
92	Peru	lineage4	FLUOROQUINOLONES	Peru5013	6.297530073169999	1
93	Peru	lineage4	FLUOROQUINOLONES	Peru3295	1.07234258131	1
94	Peru	lineage4	FLUOROQUINOLONES	Peru4573	13.530433141500001	1
95	Peru	lineage4	FLUOROQUINOLONES	Peru4599	1.1846540451799998	1
96	Peru	lineage4	FLUOROQUINOLONES	Peru4590	1.97545947237	1
97	Peru	lineage4	FLUOROQUINOLONES	Peru4591	17.949746878	1
98	Peru	lineage4	FLUOROQUINOLONES	Peru4592	1.409455158	1
99	Peru	lineage4	FLUOROQUINOLONES	Peru4595	2.9496045215400004	1
100	Peru	lineage4	FLUOROQUINOLONES	Peru4597	1.5983097093	1
101	Peru	lineage4	FLUOROQUINOLONES	Peru4932	9.80022761744	1
102	Peru	lineage4	FLUOROQUINOLONES	Peru4931	4.5283544867500005	1
103	Peru	lineage4	FLUOROQUINOLONES	Peru4936	1.3991967577200002	1
104	Peru	lineage4	FLUOROQUINOLONES	Peru4961	0.82154734376	1
105	Peru	lineage4	FLUOROQUINOLONES	Peru4962	1.00899940782	1
106	Peru	lineage4	FLUOROQUINOLONES	Peru3287	5.05513257131	1
107	Peru	lineage4	FLUOROQUINOLONES	Peru3041	2.11602479769	1
108	Peru	lineage4	FLUOROQUINOLONES	Peru4997	11.1804992786	1
109	Peru	lineage4	FLUOROQUINOLONES	Peru4039	20.740047592699998	0
110	Peru	lineage4	FLUOROQUINOLONES	Peru4567	7.655974592200001	1
111	Peru	lineage4	FLUOROQUINOLONES	Peru4569	0.450262470784	1
112	Peru	lineage4	FLUOROQUINOLONES	Peru4737	1.14361708936	1
113	Peru	lineage4	FLUOROQUINOLONES	Peru3009	0.9615922794320001	1
114	Peru	lineage4	FLUOROQUINOLONES	Peru4955	6.934677330710001	1
115	Peru	lineage4	FLUOROQUINOLONES	Peru5031	0.876389941971	1
116	Peru	lineage4	FLUOROQUINOLONES	Peru5033	0.9298631204410001	1
117	Peru	lineage4	FLUOROQUINOLONES	Peru5038	24.599957378800003	1
118	Peru	lineage4	FLUOROQUINOLONES	Peru3354	1.2053498670799998	1
119	Peru	lineage4	FLUOROQUINOLONES	Peru4095	0.135228699715	1
120	Peru	lineage4	FLUOROQUINOLONES	Peru4321	1.9243333684700001	1
121	Peru	lineage4	FLUOROQUINOLONES	Peru5446	0.994706604797	1
122	Peru	lineage4	FLUOROQUINOLONES	Peru4944	10.954714020599999	1
123	Peru	lineage4	FLUOROQUINOLONES	Peru4601	5.0551325713	1
124	Peru	lineage4	FLUOROQUINOLONES	Peru4910	13.901489431600002	1
125	Peru	lineage4	FLUOROQUINOLONES	Peru2921	5.05513257131	1
126	Peru	lineage4	FLUOROQUINOLONES	Peru4918	21.120917571099998	1
127	Peru	lineage4	FLUOROQUINOLONES	Peru4604	6.934677330710001	1
128	Peru	lineage4	FLUOROQUINOLONES	Peru5075	6.695431477810001	1
129	Peru	lineage4	FLUOROQUINOLONES	Peru5073	2.5569776976800003	1
130	Peru	lineage4	FLUOROQUINOLONES	Peru5108	0.86696278817	1
131	Peru	lineage4	FLUOROQUINOLONES	Peru5450	1.7269580487	1
132	Peru	lineage4	FLUOROQUINOLONES	Peru2955	1.06611491741	1
133	Peru	lineage4	FLUOROQUINOLONES	Peru5411	5.38214653653	1
134	Peru	lineage4	FLUOROQUINOLONES	Peru5416	11.4711406602	1
135	Peru	lineage4	FLUOROQUINOLONES	Peru5142	1.1915570969	1
136	Peru	lineage4	FLUOROQUINOLONES	Peru5021	1.7269580487	1
137	Peru	lineage4	FLUOROQUINOLONES	Peru5024	4.17551385349	1
138	Peru	lineage4	FLUOROQUINOLONES	Peru5028	10.5691828155	1
139	Peru	lineage4	FLUOROQUINOLONES	Peru4314	3.22632013385	1
140	Germany	lineage2	PYRAZINAMIDE	SAMEA2534018	8.89382895687	1
141	Germany	lineage2	PYRAZINAMIDE	SAMEA2533795	11.0218985997	1
142	Germany	lineage2	PYRAZINAMIDE	SAMEA2535029	15.186311485	1
143	Germany	lineage2	PYRAZINAMIDE	SAMEA2534314	6.32326995735	1
144	Germany	lineage2	ETHAMBUTOL	SAMEA2534018	7.88779304107	1
145	Germany	lineage2	ETHAMBUTOL	SAMEA2535237	4.65720301106	1
146	Germany	lineage2	ETHAMBUTOL	SAMEA2533795	10.951189805899999	1
147	Germany	lineage2	ETHAMBUTOL	SAMEA2534314	5.98288905025	1
148	South Korea	lineage2	FLUOROQUINOLONES	SAMN02398716	8.94130217256	1
149	South Korea	lineage2	FLUOROQUINOLONES	SAMN02398714	29.5529412698	0
150	South Korea	lineage2	FLUOROQUINOLONES	SAMN02398712	2.40581151916	1
151	South Korea	lineage2	FLUOROQUINOLONES	SAMN02398703	11.946407176700001	1
152	South Korea	lineage2	FLUOROQUINOLONES	SAMN02398708	8.94130217256	1
153	South Korea	lineage2	FLUOROQUINOLONES	SAMN02360610	12.3791057866	1
154	South Korea	lineage2	FLUOROQUINOLONES	SAMN02398695	29.5529412698	0
155	Sierra Leone	lineage6	STREPTOMYCIN	SAMEA2533674	7.652505466589999	0
156	Sierra Leone	lineage6	STREPTOMYCIN	SAMEA2535059	6.970206829039999	1
157	China	lineage4	ISONIAZID	SAMN01908793	21.083397911	1
158	China	lineage4	ISONIAZID	SAMN01908792	21.2084167399	1
159	China	lineage4	ISONIAZID	SAMN01908791	22.6167117182	1
160	China	lineage4	ISONIAZID	SAMN01908790	21.2084167399	1
161	China	lineage4	ISONIAZID	SAMN01908796	20.9755307999	1
162	China	lineage4	ISONIAZID	SAMN01908798	21.083397911	1
163	China	lineage4	ISONIAZID	SAMN01908885	8.80960097449	1
164	China	lineage4	ISONIAZID	SAMN01908862	21.0141091439	1
165	China	lineage4	ISONIAZID	SAMN01908775	23.5574028793	1
166	China	lineage4	ISONIAZID	SAMN01908806	14.479478027899999	1
167	China	lineage4	ISONIAZID	SAMN01908774	17.5114047782	1
168	China	lineage4	ISONIAZID	SAMN01908749	8.80960097449	1
169	China	lineage4	ISONIAZID	SAMN01908781	17.5114047782	1
170	China	lineage4	ISONIAZID	SAMN01908784	17.8204140238	1
171	China	lineage4	ISONIAZID	SAMN01908892	24.1444241468	1
172	China	lineage4	ISONIAZID	SAMN01908877	21.20841674	1
173	China	lineage4	ISONIAZID	SAMN01908874	22.4975581148	1
174	China	lineage4	ISONIAZID	SAMN01908855	20.1847349761	1
175	China	lineage4	ISONIAZID	SAMN01908814	20.184734976199998	1
176	China	lineage4	ISONIAZID	SAMN01908773	20.1847349761	1
177	Peru	lineage4	OTHER	Peru4548	2.28773492992	1
178	Peru	lineage4	OTHER	Peru4543	4.1770780221	1
179	Peru	lineage4	OTHER	Peru4542	1.3421859278200001	1
180	Peru	lineage4	OTHER	Peru3277	0.384283323739	1
181	Peru	lineage4	OTHER	Peru2980	2.78464704929	1
182	Peru	lineage4	OTHER	Peru4054	5.76496023908	0
183	Peru	lineage4	OTHER	Peru4958	12.6068218511	1
184	Peru	lineage4	OTHER	Peru5123	15.5083252342	1
185	Peru	lineage4	OTHER	Peru4907	22.013446873200003	1
186	Peru	lineage4	OTHER	Peru4610	1.53470198199	1
187	Peru	lineage4	OTHER	Peru4903	0.617734249581	1
188	Peru	lineage4	OTHER	Peru4902	2.1752593678400003	1
189	Peru	lineage4	OTHER	Peru5032	10.1135902012	1
190	Peru	lineage4	OTHER	Peru3069	2.46522118405	1
191	Peru	lineage4	OTHER	Peru5121	17.0462147393	1
192	Peru	lineage4	OTHER	Peru5445	1.7811008170099998	1
193	Peru	lineage4	OTHER	Peru5116	4.139931864459999	1
194	Peru	lineage4	OTHER	Peru5449	5.19999322304	1
195	Peru	lineage4	OTHER	Peru4538	5.401981618759999	1
196	Peru	lineage4	OTHER	Peru4085	0.774641796303	1
197	Peru	lineage4	OTHER	Peru4651	2.3006967326299996	1
198	Peru	lineage4	OTHER	Peru4717	1.1047912076000002	1
199	Peru	lineage4	OTHER	Peru2949	1.3866218776299999	1
200	Peru	lineage4	OTHER	Peru2946	0.7218278599	1
201	Peru	lineage4	OTHER	Peru3024	0.757408310898	1
202	Peru	lineage4	OTHER	Peru4975	22.5742850914	1
203	Peru	lineage4	OTHER	Peru4970	1.1125353529700002	1
204	Peru	lineage4	OTHER	Peru5152	2.28773492992	1
205	Peru	lineage4	OTHER	Peru5015	2.05733858813	1
206	Peru	lineage4	OTHER	Peru5013	6.64166266935	1
207	Peru	lineage4	OTHER	Peru5019	22.7313754675	1
208	Peru	lineage4	OTHER	Peru3054	0.542849463402	1
209	Peru	lineage4	OTHER	Peru2945	22.7313754675	1
210	Peru	lineage4	OTHER	Peru4573	14.0606729554	1
211	Peru	lineage4	OTHER	Peru4570	22.625878261500002	1
212	Peru	lineage4	OTHER	Peru4692	17.0462147393	1
213	Peru	lineage4	OTHER	Peru4691	8.1361538298	1
214	Peru	lineage4	OTHER	Peru4697	5.401981618759999	1
215	Peru	lineage4	OTHER	Peru4696	8.1361538298	1
216	Peru	lineage4	OTHER	Peru4699	20.3608911514	1
217	Peru	lineage4	OTHER	Peru4599	1.8911268304400004	1
218	Peru	lineage4	OTHER	Peru4590	2.26046514771	1
219	Peru	lineage4	OTHER	Peru4591	18.592132957	1
220	Peru	lineage4	OTHER	Peru4592	1.8911268304299997	1
221	Peru	lineage4	OTHER	Peru4596	1.8911268304400004	1
222	Peru	lineage4	OTHER	Peru4597	2.63626920773	1
223	Peru	lineage4	OTHER	Peru2913	1.13931398862	0
224	Peru	lineage4	OTHER	Peru2910	1.6966813520200001	1
225	Peru	lineage4	OTHER	Peru2915	1.1818172358499999	0
226	Peru	lineage4	OTHER	Peru4626	3.2634966787199997	1
227	Peru	lineage4	OTHER	Peru5435	2.92867059593	1
228	Peru	lineage4	OTHER	Peru5122	2.3778593286	1
229	Peru	lineage4	OTHER	Peru5430	1.99711837417	0
230	Peru	lineage4	OTHER	Peru4916	1.69638090391	1
231	Peru	lineage4	OTHER	Peru4897	12.2154233707	1
232	Peru	lineage4	OTHER	Peru4899	22.013446873200003	1
233	Peru	lineage4	OTHER	Peru4612	6.267941273380001	1
234	Peru	lineage4	OTHER	Peru5150	20.7895446775	1
235	Peru	lineage4	OTHER	Peru4525	6.858991720390001	1
236	Peru	lineage4	OTHER	Peru4705	1.62096237088	1
237	Peru	lineage4	OTHER	Peru4467	2.92867059593	0
238	Peru	lineage4	OTHER	Peru4961	1.61340294189	1
239	Peru	lineage4	OTHER	Peru4962	11.795768923399999	1
240	Peru	lineage4	OTHER	Peru4964	22.625878261500002	1
241	Peru	lineage4	OTHER	Peru5000	22.758740723600003	1
242	Peru	lineage4	OTHER	Peru3041	1.9220286473800001	1
243	Peru	lineage4	OTHER	Peru4990	1.65962660588	1
244	Peru	lineage4	OTHER	Peru4993	4.04600816626	1
245	Peru	lineage4	OTHER	Peru4104	0.949469796971	0
246	Peru	lineage4	OTHER	Peru4567	7.63057480457	1
247	Peru	lineage4	OTHER	Peru4561	2.3778593286	1
248	Peru	lineage4	OTHER	Peru4563	0.711993973601	1
249	Peru	lineage4	OTHER	Peru4583	20.7895446775	1
250	Peru	lineage4	OTHER	Peru4585	0.983382564175	1
251	Peru	lineage4	OTHER	Peru4584	5.401981618759999	1
252	Peru	lineage4	OTHER	Peru4927	1.4938010684099998	1
253	Peru	lineage4	OTHER	Peru4921	6.6110971653199995	0
254	Peru	lineage4	OTHER	Peru4634	1.69638090391	1
255	Peru	lineage4	OTHER	Peru4929	1.62096237088	1
256	Peru	lineage4	OTHER	Peru4737	2.3006967326299996	1
257	Peru	lineage4	OTHER	Peru3007	0.460327128852	1
258	Peru	lineage4	OTHER	Peru4952	5.44146484767	1
259	Peru	lineage4	OTHER	Peru4954	0.205413356512	1
260	Peru	lineage4	OTHER	Peru5131	2.63626920773	0
261	Peru	lineage4	OTHER	Peru5130	22.013446873200003	1
262	Peru	lineage4	OTHER	Peru5133	1.69638090391	1
263	Peru	lineage4	OTHER	Peru5031	22.625878261500002	1
264	Peru	lineage4	OTHER	Peru5033	5.401981618759999	1
265	Peru	lineage4	OTHER	Peru5038	23.9742768393	1
266	Peru	lineage4	OTHER	Peru5429	0.687132181549	1
267	Peru	lineage4	OTHER	Peru5428	0.996946511312	0
268	Peru	lineage4	OTHER	Peru4611	16.2226328635	1
269	Peru	lineage4	OTHER	Peru4321	1.97502690938	1
270	Peru	lineage4	OTHER	Peru5447	1.57187316132	1
271	Peru	lineage4	OTHER	Peru5446	1.19223096425	1
272	Peru	lineage4	OTHER	Peru4946	1.0993053584	1
273	Peru	lineage4	OTHER	Peru4983	1.3929500998	1
274	Peru	lineage4	OTHER	Peru4601	1.9846214671	1
275	Peru	lineage4	OTHER	Peru3984	7.4192862581	0
276	Peru	lineage4	OTHER	Peru3358	2.63626920773	0
277	Peru	lineage4	OTHER	Peru2923	1.13931398862	0
278	Peru	lineage4	OTHER	Peru2921	1.6794411332299999	1
279	Peru	lineage4	OTHER	Peru4609	1.5368107535799997	1
280	Peru	lineage4	OTHER	Peru4600	3.42918788333	1
281	Peru	lineage4	OTHER	Peru4602	0.801093626125	1
282	Peru	lineage4	OTHER	Peru4604	2.51930234287	1
283	Peru	lineage4	OTHER	Peru5075	9.11167486143	1
284	Peru	lineage4	OTHER	Peru5077	2.2531105341299997	1
285	Peru	lineage4	OTHER	Peru5072	3.5059073843800004	1
286	Peru	lineage4	OTHER	Peru5073	2.54022666471	1
287	Peru	lineage4	OTHER	Peru5107	1.6232592436700002	1
288	Peru	lineage4	OTHER	Peru5108	1.6232592436700002	1
289	Peru	lineage4	OTHER	Peru5455	2.92867059593	1
290	Peru	lineage4	OTHER	Peru5450	1.5120909423500002	1
291	Peru	lineage4	OTHER	Peru4579	36.3621585204	1
292	Peru	lineage4	OTHER	Peru4002	1.1462187807100002	1
293	Peru	lineage4	OTHER	Peru5097	1.0117805432	1
294	Peru	lineage4	OTHER	Peru5093	20.7895446775	1
295	Peru	lineage4	OTHER	Peru3421	2.9693189571599996	1
296	Peru	lineage4	OTHER	Peru5149	20.7895446775	1
297	Peru	lineage4	OTHER	Peru5413	1.2695869092899998	1
298	Peru	lineage4	OTHER	Peru4949	2.63626920773	1
299	Peru	lineage4	OTHER	Peru5141	11.795768923399999	1
300	Peru	lineage4	OTHER	Peru5021	1.5120909423500002	1
301	Peru	lineage4	OTHER	Peru5024	4.468799150940001	1
302	Peru	lineage4	OTHER	Peru5028	10.4789129908	1
303	Peru	lineage4	OTHER	Peru4316	1.4938010684099998	1
304	Peru	lineage4	OTHER	Peru4314	2.9460616324699997	1
305	Netherlands	lineage4	ISONIAZID	SAMEA968169	11.5908081229	0
306	Netherlands	lineage4	ISONIAZID	SAMEA968130	15.772280221900001	0
307	Netherlands	lineage4	ISONIAZID	SAMEA968204	0.7551649254389999	0
308	United Kingdom	lineage2	AMINOGLYCOSIDE	SAMN03647423	27.540230065	1
309	United Kingdom	lineage2	AMINOGLYCOSIDE	SAMN03647430	3.2986757973400005	1
310	United Kingdom	lineage2	AMINOGLYCOSIDE	SAMN03648084	10.6145609521	1
311	United Kingdom	lineage2	AMINOGLYCOSIDE	SAMN03648062	10.6145609521	1
312	United Kingdom	lineage2	AMINOGLYCOSIDE	SAMEA2297088	9.21335168642	0
313	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4072	4.84772885864	0
314	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3008	1.36924418016	1
315	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4987	11.6345953769	1
316	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4986	34.9916833076	1
317	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4549	10.881552579700001	1
318	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4548	2.3238833688	1
319	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4547	15.233465082999999	1
320	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4543	3.9436263421800004	1
321	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4542	1.04094261343	1
322	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3277	2.6305241708700002	1
323	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru2980	3.09904745524	1
324	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3270	3.92745616085	1
325	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3272	5.805261991340001	1
326	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3998	0.605693840794	0
327	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4958	14.0270369794	1
328	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3368	1.04745714674	1
329	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3366	8.90043813205	1
330	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3367	1.6660340031099998	1
331	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3362	11.6345953769	1
332	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4044	1.04094261343	1
333	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3361	8.93975855163	1
334	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4907	24.823829702399998	1
335	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4906	5.515946190019999	1
336	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4610	24.7054668413	1
337	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4903	16.9460776609	1
338	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4902	8.973710969019999	1
339	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4614	65.109726835	1
340	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4490	12.9946010456	1
341	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5032	10.1165725647	1
342	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru2911	22.8808711984	1
343	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3069	2.70902002551	1
344	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5121	24.4138334693	1
345	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3064	4.25137628257	1
346	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3066	1.36924418016	1
347	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5113	8.97371096901	1
348	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5111	22.8808711984	1
349	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5116	35.2842012933	1
350	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5115	1.31980080898	1
351	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5114	2.1253137846400003	1
352	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5449	8.973710969019999	1
353	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru5448	11.4859707124	1
354	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4122	3.0315082167500003	1
355	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4534	11.6345953769	1
356	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4533	3.08785089882	1
357	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3271	11.6345953769	1
358	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4629	4.67052811116	1
359	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4538	5.9594455237199995	1
360	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4539	24.7054668413	1
361	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3395	11.6345953769	1
362	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4016	0.486674855512	1
363	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4151	24.4138334694	1
364	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3322	24.4138334694	1
365	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3321	14.2912069642	1
366	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3324	2.57083502196	1
367	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4085	11.6345953769	1
368	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru3275	2.51887069951	1
369	Peru	lineage4	RIFAMPICIN/RIFABUTIN	Peru4651	2.93433186418	1
